[ 2025-06-06 13:24:04,175 ] 55 root - INFO - Initiate the data ingestion
[ 2025-06-06 13:24:13,699 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 13:24:13,699 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 13:24:13,702 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-06 13:24:13,880 ] 77 root - INFO - Exported train and test file path.
[ 2025-06-06 13:24:13,882 ] 57 root - INFO - Data Initiation Completed
[ 2025-06-06 13:24:13,915 ] 61 root - INFO - Initiate the data Validation
[ 2025-06-06 13:24:14,078 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 13:24:14,078 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 13:24:14,079 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 13:24:14,079 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 13:24:14,546 ] 63 root - INFO - data Validation Completed
[ 2025-06-06 13:24:14,547 ] 66 root - INFO - data Transformation started
[ 2025-06-06 13:24:14,548 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-06 13:24:14,548 ] 67 root - INFO - Starting data transformation
[ 2025-06-06 13:24:14,641 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-06 13:24:14,642 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-06 13:24:14,678 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 13:24:14,685 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 13:24:14,686 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 13:24:14,692 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 13:24:14,696 ] 70 root - INFO - data Transformation completed
