[ 2025-06-06 22:32:02,394 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-06-06 22:32:03,710 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-06-06 22:32:04,671 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-06 22:32:04,677 ] 107 dagshub - INFO - Accessing as akshat-0921
[ 2025-06-06 22:32:06,033 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/akshat-0921/security "HTTP/1.1 200 OK"
[ 2025-06-06 22:32:07,232 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-06 22:32:07,236 ] 107 dagshub - INFO - Initialized MLflow to track repo "akshat-0921/security"
[ 2025-06-06 22:32:07,238 ] 107 dagshub - INFO - Repository akshat-0921/security initialized!
[ 2025-06-06 22:32:07,238 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-06 22:32:20,418 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 22:32:20,418 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 22:32:20,420 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-06 22:32:20,463 ] 77 root - INFO - Exported train and test file path.
[ 2025-06-06 22:32:20,463 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-06 22:32:20,471 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-06 22:32:20,540 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 22:32:20,541 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 22:32:20,541 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 22:32:20,541 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 22:32:20,674 ] 27 root - INFO - data Validation Completed
[ 2025-06-06 22:32:20,674 ] 30 root - INFO - data Transformation started
[ 2025-06-06 22:32:20,674 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-06 22:32:20,674 ] 67 root - INFO - Starting data transformation
[ 2025-06-06 22:32:20,701 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-06 22:32:20,701 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-06 22:32:20,720 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 22:32:20,726 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 22:32:20,726 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 22:32:20,729 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 22:32:20,730 ] 34 root - INFO - data Transformation completed
[ 2025-06-06 22:32:20,731 ] 36 root - INFO - Model Training stared
[ 2025-06-06 22:37:32,223 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 22:37:32,226 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 22:37:32,226 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 22:37:32,275 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 22:37:32,278 ] 149 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_06_2025_22_31_50\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909488457235839, precision_score=0.9890377588306942, recall_score=0.992867332382311), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9821499404998016, precision_score=0.9740361919748229, recall_score=0.9904))
[ 2025-06-06 22:37:32,288 ] 40 root - INFO - Model Training artifact created
