[ 2025-06-06 20:51:40,161 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-06 20:51:50,130 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 20:51:50,131 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 20:51:50,131 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-06 20:51:50,188 ] 77 root - INFO - Exported train and test file path.
[ 2025-06-06 20:51:50,189 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-06 20:51:50,213 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-06 20:51:50,278 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 20:51:50,278 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 20:51:50,278 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 20:51:50,278 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 20:51:50,438 ] 27 root - INFO - data Validation Completed
[ 2025-06-06 20:51:50,438 ] 30 root - INFO - data Transformation started
[ 2025-06-06 20:51:50,439 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-06 20:51:50,439 ] 67 root - INFO - Starting data transformation
[ 2025-06-06 20:51:50,465 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-06 20:51:50,465 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-06 20:51:50,481 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 20:51:50,485 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 20:51:50,485 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 20:51:50,487 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 20:51:50,489 ] 34 root - INFO - data Transformation completed
[ 2025-06-06 20:51:50,489 ] 36 root - INFO - Model Training stared
