[ 2025-06-06 13:23:14,975 ] 55 root - INFO - Initiate the data ingestion
[ 2025-06-06 13:23:26,128 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 13:23:26,128 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 13:23:26,129 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-06 13:23:26,209 ] 77 root - INFO - Exported train and test file path.
[ 2025-06-06 13:23:26,210 ] 57 root - INFO - Data Initiation Completed
[ 2025-06-06 13:23:26,227 ] 61 root - INFO - Initiate the data Validation
[ 2025-06-06 13:23:26,337 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 13:23:26,337 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 13:23:26,338 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 13:23:26,338 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 13:23:26,568 ] 63 root - INFO - data Validation Completed
[ 2025-06-06 13:23:26,568 ] 66 root - INFO - data Transformation started
[ 2025-06-06 13:23:26,568 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-06 13:23:26,569 ] 67 root - INFO - Starting data transformation
[ 2025-06-06 13:23:26,627 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-06 13:23:26,628 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-06 13:23:26,652 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 13:23:26,657 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 13:23:26,657 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 13:23:26,660 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 13:23:26,663 ] 70 root - INFO - data Transformation completed
